LATITUDE,LONGITUDE,MatchType,NumMatch,AccountName,Address,City,State,Zip,Phone,Operating Times,Website,Accepting mentee referrals,Person Accepting Mentee Referrals,Person Accepting Mentee Referrals Email,Accepting volunteer referrals,Person Accepting Volunteer Referrals,Person Accepting Volunteer ReferralEmail,MenteeType,Gender of Mentees,Desired Gender of Mentors,Number of Mentees,Number of Mentors,VISTA Host Site,Current Status,GeographicArea
38.8047,-77.0472,MatchToCity,NoMatch,The Untouchables Male Youth Club,,Alexandria,,,(703) 504-0444,Weekly meetings on Thursdays from 4:30 - 5:30 pm during the school year and 4:00 - 5:00 pm during the summer.,http://www.theuntouchables88.org/,,,,,,,,Male,,46,8,,Active Youth Mentoring Program,Northern Virginia
38.89,-77.03,IsPOBOX,NoMatch,StandUp For Kids - Washington D.C.,P.O. Box 75983,Washington,DC,20013,(202) 681-4799,,http://www.standupforkids.org/WashingtonDC/default.aspx,Yes,Sharon Dennis,sharond@standupforkids.org,Yes,Sharon Dennis,sharond@standupforkids.org,Runaway/Homeless,,,4,4,,Active Youth Mentoring Program,Washington D.C.
38.8882,-77.0917,ExactMatch,Exact,Emerging Leaders Program,"2801 Clarendon Blvd., Suite 216",Arlington,Virginia,22201,(703) 228-2560,,http://www.edu-futuro.org/,Yes,Jessie Ferguson,jessie@edu-futuro.org,Yes,Jessie Ferguson,jessie@edu-futuro.org,Gang at-risk; Immigrant and/or refugee; Low Income,,,70,70,,Active Youth Mentoring Program,Northern Virginia
38.0227,-78.4846,ExactMatch,Approx,Computers4Kids,945 2nd Street SE,Charlottesville,Virginia,22902,(434) 817-1121,3-8 PM Monday-Friday,www.computers4kids.net,Yes,,,Yes,,,General Youth Population; Immigrant and/or refugee; Low Income,,,120,114,2012-2013; 2013-2014; 2014-2015,Active Youth Mentoring Program,Central Virginia
38.8763,-76.99931579,ExactMatch,Exact,BEST Kids,515 M St SE #215,"Washington, DC",,20003,(202) 397-3272,Year-round ~ 10 hours a month. Flexible evenings/weekends. Weekly contact is a requirement. Monthly peer groups on the second Saturday of each month. These peer groups are coordinated by BEST Kids to build a sense of community among the youth and their me,www.bestkids.org,Yes,Nicole Harrison,nicole@bestkids.org,Yes,Nicole Harrison,nicole@bestkids.org,Foster Care,,,72,74,,Active Youth Mentoring Program,Washington D.C.
38.772,-77.0573,MatchToZip,NoMatch,SOHO: Space Of Her Own Alexandria,Court Service Unit,Alexandria,VA,22307,(703) 201-6148,Weekly from 3:30 ? 8:00.,www.spaceofherown.org,No,Amy Creed,spaceofherown@gmail.com,Yes,Amy Creed,spaceofherown@gmail.com,Foster Care; Gang at-risk; GLBT Youth; Immigrant and/or refugee; Incarcerated Parent; Low Income; Parent involved in the military; Pregnant/Parenting; Runaway/Homeless,Female,Female,58,58,2013-2014; 2014-2015,Active Youth Mentoring Program,Northern Virginia
37.9103,-78.5221,IsPOBOX,NoMatch,Strive,P.O. Box 71,Charlottesville,VA,22902,(434) 970-2077,,www.charlottesvilleabundantlife.org,No,,,Yes,Dylan Rosenthal,,Gang at-risk; General Youth Population; Immigrant and/or refugee; Incarcerated Parent; Youth with Disabilities,Male,Male,16,16,,Active Youth Mentoring Program,Central Virginia
38.8622,-77.3372,ExactMatch,Exact,MentorWorks,3877 Fairfax Ridge Road,Fairfax,Virginia,22030,(571) 423-4403,School hours. FCPS students only.,http://www.fcps.edu/dss/ips/ssaw/mentorworks/,Yes,Shelley Prince,shelley.prince@fcps.edu,Yes,Shelley Prince,shelley.prince@fcps.edu,General Youth Population,,,7000,7000,,Active Youth Mentoring Program,Northern Virginia
37.66136765,-77.57878733,ExactMatch,Exact,Partnership for the Future,4521 Highwoods Parkways,Glen Allen,VA,23060,(804) 967-2559,"Once a month for two hours from 6pm-8pm. October-March. Usually on Tuesdays, but with flexibility for other days.",www.partnershipforthefuture.org,Yes,Tiffany Thomas,pff@partnershipforthefuture.org,Yes,Tiffany Thomas,pff@partnershipforthefuture.org,Gifted & Talented; Low Income,,,36,36,2013-2014,Active Youth Mentoring Program,Central Virginia
37.6113,-77.4382,IsPOBOX,NoMatch,Youth Life Foundation of Richmond,P.O. Box 15202,Richmond,Virginia,23227,(804) 228-1620,"Once a week for two hours. Monday-Thursday 4-6pm. Summer mentoring June 24-August 2, 9am-3pm Monday-Wednesday. Thursday - field trips.",http://ylfr.org/index.html,No,,,Yes,Katharine Hunt,khunt@ylfr.org,Incarcerated Parent; Low Income,,,57,120,2014-2015,Active Tutor-Mentor Program,Central Virginia
